id_genero;genero;filme_id
1;Comédia,Crime,Drama,;2
2;Comédia,Crime;5
3;Ação,Crime,Suspense,;6
4;Ação,Aventura,Ficção Científica,;11
5;Animação,Família;12
6;Comédia,Drama,Romance,;13
7;Drama,;14
8;Drama,Mistério;15
9;Crime,Drama;16
10;Ação,Aventura,Fantasia,Ficção Científica;18
11;Drama,Ficção Científica;19
12;Drama,Romance;20
13;Ação,Aventura,Fantasia,;22
14;Ação,Crime;24
15;Drama,Guerra;25
16;Drama,Música,Romance,;27
17;Drama,Guerra;28
18;Faroeste,;33
19;Animação,Comédia,Família,;35
20;Ficção Científica,Drama,Romance,;38
21;Drama,Suspense;55
22;Ação,Aventura,Fantasia,;58
23;Crime,Drama,Suspense,;59
24;Aventura,Mistério,Ficção Científica,;62
25;Ficção Científica,Suspense,Mistério,;63
26;Drama,Romance;64
27;Drama,Música;65
28;Crime,;66
29;Comédia,Ficção Científica;68
30;Drama,Música,Romance,;69
31;Drama,;70
32;Comédia,Drama,Música,;71
33;Drama,;73
34;Aventura,Ficção Científica,Suspense,;74
35;Comédia,Fantasia,Ficção Científica,;75
36;Drama,Romance;76
37;Mistério,Suspense;77
38;Drama,Ficção Científica,Suspense,;78
39;Ação,Aventura,Drama,História;79
40;Drama,Romance;80
41;Aventura,Animação,Fantasia,;81
42;Ação,Aventura,Crime,Suspense;82
43;Drama,Terror,Suspense,;83
44;Ação,Aventura;85
45;Ação,Aventura;87
46;Drama,Música,Romance,;88
47;Ação,Aventura;89
48;Ação,Comédia,Crime,;90
49;Crime,Drama,Mistério,Suspense;93
50;Ação,Aventura,Ficção Científica,Suspense;95
51;Ação,Comédia,Crime,;96
52;Ação,Aventura,Ficção Científica,;97
53;Ação,Aventura,Drama,;98
54;Comédia,Drama;99
55;Comédia,Crime;100
56;Ação,Crime,Drama,;101
57;Crime,Drama;103
58;Ação,Drama,Suspense,;104
59;Aventura,Comédia,Ficção Científica,Família;105
60;Ação,Aventura,Ficção Científica,Suspense;106
61;Crime,Suspense;107
62;Drama,;108
63;Comédia,Drama,Mistério,;109
64;Drama,Mistério,Romance,;110
65;Ação,Crime,Drama,Suspense;111
66;Drama,;113
67;Comédia,Romance;114
68;Comédia,Crime;115
69;Drama,Suspense,Crime,Romance;116
70;Crime,Drama,História,Suspense;117
71;Aventura,Comédia,Fantasia,Música;118
72;Ação,Aventura,Fantasia,;120
73;Ação,Aventura,Fantasia,;121
74;Ação,Aventura,Fantasia,;122
75;Aventura,Animação,Drama,Fantasia;123
76;Drama,;127
77;Aventura,Animação,Fantasia,;128
78;Animação,Fantasia,Família,;129
79;Ação,Aventura,Comédia,;134
80;Drama,Terror;136
81;Comédia,Drama,Fantasia,Romance;137
82;Fantasia,Terror;138
83;Crime,Drama,Mistério,Suspense;140
84;Fantasia,Drama,Mistério,;141
85;Drama,Romance;142
86;Drama,Guerra;143
87;Drama,Fantasia,Romance,;144
88;Drama,Romance;145
89;Ação,Aventura,Drama,Romance;146
90;Drama,;147
91;Ficção Científica,Animação;149
92;Ação,Comédia,Crime,Drama;150
93;Aventura,Mistério,Ficção Científica,;152
94;Drama,Romance,Comédia,;153
95;Ação,Aventura,Ficção Científica,Suspense;154
96;Drama,Ação,Crime,Suspense;155
97;Ficção Científica,Ação,Aventura,Suspense;157
98;Comédia,Crime;158
99;Crime,Suspense;161
100;Drama,Fantasia,Romance,;162
101;Crime,Suspense;163
102;Comédia,Drama,Romance,;164
103;Aventura,Comédia,Ficção Científica,Família;165
104;Comédia,Drama,Romance,Família;166
105;Drama,Ficção Científica;167
106;Ficção Científica,Aventura;168
107;Ação,Ficção Científica,Suspense,;169
108;Terror,Suspense,Ficção Científica,;170
